faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,faceImages_q,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\LIP_CFD_WF_250_167_N.png,0,32,32,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.06479620000027,190.3633636000004,190.3633636000004,190.3633636000004,190.3633636000004,190.3633636000004,0.30772330000036163,41.388888888888886,4.105084099999658,-0.027777777777777776,-0.4166666666666667,1,0,0,NextBu,52.77777777777778,4.834983900000225,0.50402802608392,195.34835980000025,195.85772700000052,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_CFD_WM_212_097_N.png,0,33,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.85772700000052,196.15487480000047,196.15487480000047,196.15487480000047,196.15487480000047,196.15487480000047,0.3080435000001671,52.77777777777778,2.1797458999999435,-0.049074074074074076,-0.41388888888888886,1,0,0,NextBu,49.907407407407405,3.092736500000683,0.5605292991103652,199.26284110000051,199.83056380000016,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\NASALTIP_CFD_BF_224_002_N.png,0,34,34,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.83056380000016,200.12779940000019,200.12779940000019,200.12779940000019,200.12779940000019,200.12779940000019,0.30843430000004446,47.40740740740741,1.0887352999998257,-0.03611111111111111,-0.4027777777777778,1,0,0,NextBu,51.48148148148148,1.8774840999994922,0.7127625419633798,202.0130751000006,202.73123329999999,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_087_M_M_N_A.png,0,35,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.73123329999999,203.02898900000037,203.02898900000037,203.02898900000037,203.02898900000037,203.02898900000037,0.30700379999962024,45.092592592592595,0.9251002000000881,-0.05277777777777778,-0.375,1,0,0,NextBu,49.81481481481482,1.4267105999997511,0.614596938885692,204.40263959999993,205.02270360000057,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_CFD_BM_213_134_N.png,0,36,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.02270360000057,205.3202138000006,205.3202138000006,205.3202138000006,205.3202138000006,205.3202138000006,0.30682009999964066,42.96296296296296,1.626789099999769,-0.022222222222222223,-0.3685185185185185,1,0,0,NextBu,48.7962962962963,2.2650469000000157,0.8270832303393698,207.56913170000007,208.39804230000027,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_CFD_BF_224_002_N.png,0,37,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.39804230000027,208.69586030000028,208.69586030000028,208.69586030000028,208.69586030000028,208.69586030000028,0.3067233000001579,40.74074074074075,1.1669455999999627,-0.03148148148148148,-0.37037037037037035,1,0,0,NextBu,47.22222222222222,2.0463141999998697,0.6216620067770443,210.7693589999999,211.39770260000023,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_CFD_AF_237_223_N.png,0,38,38,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.39770260000023,211.69566960000066,211.69566960000066,211.69566960000066,211.69566960000066,211.69566960000066,0.3075280000002749,45.27777777777778,0.7414012999997794,-0.027777777777777776,-0.39814814814814814,1,0,0,NextBu,47.12962962962963,1.3508136000000377,0.9949053915512506,213.06110249999983,214.0571815000003,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_006_M_F_N_A.png,0,39,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0571815000003,214.35480800000005,214.35480800000005,214.35480800000005,214.35480800000005,214.35480800000005,0.30635590000019874,40.64814814814815,1.0603881999995792,-0.032407407407407406,-0.4027777777777778,1,0,0,NextBu,41.388888888888886,1.6722278999995979,0.8568962546091861,216.22090209999988,217.08503780000046,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\NASALTIP_CFD_WF_250_167_N.png,0,40,40,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.08503780000046,217.3829923000003,217.3829923000003,217.3829923000003,217.3829923000003,217.3829923000003,0.307229300000472,54.35185185185185,2.0753131000001304,-0.046296296296296294,-0.3972222222222222,1,0,0,NextBu,48.61111111111111,2.713744300000144,0.8560015634467573,220.11746980000044,220.98033310000028,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_035_M_F_N_A.png,0,41,41,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.98033310000028,221.27875180000046,221.27875180000046,221.27875180000046,221.27875180000046,221.27875180000046,0.3071632999999565,47.12962962962963,12.070840000000317,0.013888888888888888,-0.4388888888888889,1,0,0,NextBu,53.51851851851852,12.976800600000388,0.8146484357846027,234.24820630000067,235.06658200000038,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\RCHEEK_087_M_M_N_A.png,0,42,42,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.06658200000038,235.3620791000003,235.3620791000003,235.3620791000003,235.3620791000003,235.3620791000003,0.30617630000051577,46.85185185185185,0.7452141000003394,-0.004629629629629629,-0.40555555555555556,1,0,0,NextBu,47.31481481481482,1.3141930000001594,0.5610003061818081,236.69249840000066,237.25977390000025,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\FOREHEAD_CFD_LM_201_057_N.png,0,43,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.25977390000025,237.55683380000028,237.55683380000028,237.55683380000028,237.55683380000028,237.55683380000028,0.30789110000023356,40.74074074074075,0.8537316000001738,-0.08148148148148149,-0.41759259259259257,1,0,0,NextBu,39.62962962962963,1.4560840000003736,0.5437176247534807,238.96396809999987,239.51640490000045,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\NASALTIP_CFD_WM_212_097_N.png,0,44,44,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.51640490000045,239.81258919999982,239.81258919999982,239.81258919999982,239.81258919999982,239.81258919999982,0.30670939999981783,51.66666666666667,1.7721117999999478,-0.001851851851851852,-0.4101851851851852,1,0,0,NextBu,50.92592592592593,2.3675731000002997,0.5265287174072184,242.16525860000002,242.6954136000004,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\FOREHEAD_CFD_BM_213_134_N.png,0,45,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.6954136000004,242.99406530000033,242.99406530000033,242.99406530000033,242.99406530000033,242.99406530000033,0.30759019999914017,49.44444444444444,4.6049198000000615,0.002777777777777778,-0.41574074074074074,1,0,0,NextBu,51.20370370370371,5.124879800000599,0.7147234942028315,248.10306190000028,248.82012660000055,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\RCHEEK_CFD_BM_213_134_N.png,0,46,46,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.82012660000055,249.11799400000018,249.11799400000018,249.11799400000018,249.11799400000018,249.11799400000018,0.3073123000003761,55.74074074074073,1.5634253999996872,0.002777777777777778,-0.4111111111111111,1,0,0,NextBu,51.01851851851852,2.2359116000006907,0.8940260864847179,252.87343959999998,253.77137990000028,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\NASALTIP_035_M_F_N_A.png,0,47,47,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.77137990000028,254.0709136000005,254.0709136000005,254.0709136000005,254.0709136000005,254.0709136000005,0.3087244999996983,49.907407407407405,0.8798826000002009,-0.032407407407407406,-0.4351851851851852,1,0,0,NextBu,49.44444444444444,1.4667545000002065,0.6597118756802738,255.52520710000044,256.18784270000015,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\FOREHEAD_006_M_F_N_A.png,0,48,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.18784270000015,256.4857141000002,256.4857141000002,256.4857141000002,256.4857141000002,256.4857141000002,0.30658390000007785,58.14814814814815,1.0311264000001756,-0.012962962962962963,-0.41388888888888886,1,0,0,NextBu,51.20370370370371,1.5746733000005406,0.9930401297488227,257.99088160000065,258.9883305000003,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
